,Indicator_EN,Indicator_AR,Variable_EN - Final Discharge,Variable_AR - Final Discharge,Unit_EN,Unit_AR,Geography_EN,Geography_AR,Temporal Ref - Year_EN,Temporal Ref - Year_AR,Value
65,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Sharjah,الشارقة  ,2016,2016,9899731
66,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Ajman,عجمان   ,2016,2016,0
67,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2016,2016,0
68,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2016,2016,0
69,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Fujairah,الفجيرة  ,2016,2016,0
70,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,Million M3,مليون م 3,Total ,المجموع ,2016,2016,9899731
71,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Storage,تخزين,%,%,Total %,المجموع %,2016,2016,1.3504772185268383
72,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2016,2016,150253613.99999994
73,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Dubai,دبي,2016,2016,29397169
74,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Sharjah,الشارقة  ,2016,2016,23000904
75,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ajman,عجمان   ,2016,2016,16696181
76,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2016,2016,0
77,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2016,2016,6148800
78,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Fujairah,الفجيرة  ,2016,2016,6740656
79,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,Million M3,مليون م 3,Total ,المجموع ,2016,2016,232237323.99999994
80,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Dispose in Gulf Water,تصريف إلى مياه الخليج ,%,%,Total %,المجموع %,2016,2016,31.68078156402796
81,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Abu Dhabi,أبوظبي,2016,2016,9159358.80548
82,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Dubai,دبي,2016,2016,3321577.709677428
83,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Sharjah,الشارقة  ,2016,2016,1108401
84,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ajman,عجمان   ,2016,2016,6210142
85,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Umm Al-Quwain ,أم القيوين  ,2016,2016,0
86,Treated Wastewater Distribution,كمية المياه العادمة المعالجة,Other,أخرى ,Million M3,مليون م 3,Ras Al-Khaimah ,رأس الخيمة   ,2016,2016,775956.6
